incident_id,customer_name,customer_email,category,status,created_at,satisfaction_score
INC-001,Cliente 001,cliente001@example.test,Queja,Abierto,2026-01-01,
INC-002,Cliente 002,cliente002@example.test,Solicitud,Abierto,2026-01-02,
INC-003,Cliente 003,cliente003@example.test,Fallo operativo,Cerrado,2026-01-03,4
INC-004,Cliente 004,cliente004@example.test,Queja,Abierto,2026-01-04,
INC-005,Cliente 005,cliente005@example.test,Solicitud,Abierto,2026-01-05,
INC-006,Cliente 006,cliente006@example.test,Fallo operativo,Cerrado,2026-01-06,2
INC-007,Cliente 007,cliente007@example.test,Queja,Abierto,2026-01-07,
INC-008,Cliente 008,cliente008@example.test,Solicitud,Abierto,2026-01-08,
INC-009,Cliente 009,cliente009@example.test,Fallo operativo,Cerrado,2026-01-09,5
INC-010,Cliente 010,cliente010@example.test,Queja,Abierto,2026-01-10,
INC-011,Cliente 011,cliente011@example.test,Solicitud,Abierto,2026-01-11,
INC-012,Cliente 012,cliente012@example.test,Fallo operativo,Cerrado,2026-01-12,3
INC-013,Cliente 013,cliente013@example.test,Queja,Abierto,2026-01-13,
INC-014,Cliente 014,cliente014@example.test,Solicitud,Abierto,2026-01-14,
INC-015,Cliente 015,cliente015@example.test,Fallo operativo,Cerrado,2026-01-15,1
INC-016,Cliente 016,cliente016@example.test,Queja,Abierto,2026-01-16,
INC-017,Cliente 017,cliente017@example.test,Solicitud,Abierto,2026-01-17,
INC-018,Cliente 018,cliente018@example.test,Fallo operativo,Cerrado,2026-01-18,4
INC-019,Cliente 019,cliente019@example.test,Queja,Abierto,2026-01-19,
INC-020,Cliente 020,cliente020@example.test,Solicitud,Abierto,2026-01-20,
INC-021,Cliente 021,cliente021@example.test,Fallo operativo,Cerrado,2026-01-21,2
INC-022,Cliente 022,cliente022@example.test,Queja,Abierto,2026-01-22,
INC-023,Cliente 023,cliente023@example.test,Solicitud,Abierto,2026-01-23,
INC-024,Cliente 024,cliente024@example.test,Fallo operativo,Cerrado,2026-01-24,5
INC-025,Cliente 025,cliente025@example.test,Queja,Abierto,2026-01-25,
INC-026,Cliente 026,cliente026@example.test,Solicitud,Abierto,2026-01-26,
INC-027,Cliente 027,cliente027@example.test,Fallo operativo,Cerrado,2026-01-27,3
INC-028,Cliente 028,cliente028@example.test,Queja,Abierto,2026-01-28,
INC-029,Cliente 029,cliente029@example.test,Solicitud,Abierto,2026-01-29,
